method,n,metric,mean,std
rasch,2,n_adjacent_ties,0,0
rasch,2,mean_adjacent_score_gap,0.2836959951,0.009958584964
rasch,4,kendall_tau_b_to_reference,0.9781818182,0.01781447086
rasch,4,top1_match,1,0
rasch,4,top3_set_match,1,0
rasch,4,n_adjacent_ties,0,0
rasch,4,mean_adjacent_score_gap,0.2854179938,0.007420504016
rasch,8,kendall_tau_b_to_reference,0.9927272727,0.01454545455
rasch,8,top1_match,1,0
rasch,8,top3_set_match,1,0
rasch,8,n_adjacent_ties,0,0
rasch,8,mean_adjacent_score_gap,0.2908207451,0.005167255124
rasch,16,kendall_tau_b_to_reference,0.9854545455,0.01781447086
rasch,16,top1_match,1,0
rasch,16,top3_set_match,1,0
rasch,16,n_adjacent_ties,0,0
rasch,16,mean_adjacent_score_gap,0.2925138678,0.00385791627
rasch,32,kendall_tau_b_to_reference,0.9890909091,0.01666391162
rasch,32,top1_match,1,0
rasch,32,top3_set_match,1,0
rasch,32,n_adjacent_ties,0,0
rasch,32,mean_adjacent_score_gap,0.2955910332,0.001438740471
